Year,Quarter,Product Model,5G Capability,Region,Units Sold,Revenue ($),Market Share (%),Regional 5G Coverage (%),5G Subscribers (millions),Avg 5G Speed (Mbps),Preference for 5G (%),Profit,time_id,product_id,region_id,fact_id
2019,Q1,Galaxy S10,No,Asia-Pacific,26396,,01.04,57.36,39.55,293.1,55.87,0.0,1,1,1,1
2019,Q1,Galaxy Note10,No,Latin America,25671,,2.82,85.8,42.58,67.46,37.26,0.0,1,2,2,2
2019,Q1,Galaxy S20,No,Middle East & Africa,16573,25608331.51,-0.03,47.02,3.78,77.25,84.66,5121666.302000001,1,3,3,3
2019,Q1,Galaxy Note20,No,North America,7177,21984415.83,8.400.000.000.000.000,25.7,23.41,105.27,40.03,4396883.166,1,4,4,4
2019,Q1,Galaxy S21,No,Latin America,45633,16342437.5,2.36,89.13,44.43,206.17,76.88,3268487.5,1,5,2,5
2019,Q1,Galaxy A32 5G,Yes,Middle East & Africa,15912,17178326.9,5.41,59.12,12.14,179.15,80.79,3435665.38,1,6,3,6
2019,Q1,Galaxy A52 5G,Yes,Latin America,7231,48639810.19,5.9,52.94,44.36,259.16,77.55,9727962.038,1,7,2,7
2019,Q1,Galaxy A73 5G,Yes,Europe,58711,70175779.07,4.92,79.95,49.7,191.42,74.83,14035155.814,1,8,5,8
2019,Q1,Galaxy Z Fold2 5G,Yes,North America,40641,51959555.76,2.64,44.77,31.27,151.18,6.650.999.999.999.990,10391911.152,1,9,4,9
2019,Q1,Galaxy Z Flip3 5G,Yes,Latin America,38119,49899540.8,6.84,51.21,38.33,284.33,87.01,9979908.16,1,10,2,10
2019,Q1,Galaxy S22 5G,Yes,Middle East & Africa,36255,12091673.94,4.66,56.5,9.77,81.43,85.88,2418334.788,1,11,3,11
2019,Q1,Galaxy Z Fold3 5G,Yes,Asia-Pacific,19643,36029498.52,5.67,76.62,22.84,220.82,88.16,7205899.704000001,1,12,1,12
2019,Q1,Galaxy A14 5G,Yes,Middle East & Africa,12612,57161551.82,3.24,6.447.999.999.999.990,14.98,161.49,85.67,11432310.364,1,13,3,13
2019,Q1,Galaxy S23 5G,Yes,Europe,22722,,2.88,87.12,19.04,233.87,45.66,0.0,1,14,5,14
2019,Q1,Galaxy Z Flip5 5G,Yes,Latin America,8453,46937282.29,3.48,7.272.999.999.999.990,23.32,130.87,53.81,9387456.458,1,15,2,15
2019,Q2,Galaxy S10,No,Middle East & Africa,19160,6660064.8,1.56,67.69,14.6,156.93,64.04,1332012.96,2,1,3,16
2019,Q2,Galaxy Note10,No,Middle East & Africa,38253,,-0.05,76.73,31.96,273.85,38.28,0.0,2,2,3,17
2019,Q2,Galaxy S20,No,Middle East & Africa,17404,14950208.85,2.51,38.86,36.38,105.21,67.78,2990041.77,2,3,3,18
2019,Q2,Galaxy Note20,No,Middle East & Africa,27841,,3.96,75.22,46.41,283.25,44.96,0.0,2,4,3,19
2019,Q2,Galaxy S21,No,Middle East & Africa,10047,10691516.9,1.56,45.75,15.36,112.81,85.33,2138303.3800000004,2,5,3,20
2019,Q2,Galaxy A32 5G,Yes,Europe,25054,40495943.74,4.640.000.000.000.000,67.39,21.03,212.78,63.69,8099188.748000001,2,6,5,21
2019,Q2,Galaxy A52 5G,Yes,Asia-Pacific,37263,29763310.31,2.76,55.56,16.03,263.32,64.63,5952662.062,2,7,1,22
2019,Q2,Galaxy A73 5G,Yes,North America,39191,19631909.34,3.35,100.83,49.18,59.84,53.2,3926381.8680000002,2,8,4,23
2019,Q2,Galaxy Z Fold2 5G,Yes,North America,11320,36678245.92,5.99,50.12,43.18,251.51,88.81,7335649.184,2,9,4,24
2019,Q2,Galaxy Z Flip3 5G,Yes,North America,31105,12818738.02,4.77,93.04,20.52,110.55,73.07,2563747.6040000003,2,10,4,25
2019,Q2,Galaxy S22 5G,Yes,Middle East & Africa,24185,52192972.55,2.95,40.55,46.73,200.47,83.06,10438594.51,2,11,3,26
2019,Q2,Galaxy Z Fold3 5G,Yes,Latin America,8422,11292488.05,6,55.76,30.55,170.31,78.44,2258497.6100000003,2,12,2,27
2019,Q2,Galaxy A14 5G,Yes,North America,56397,18390883.85,6.11,7.096.000.000.000.000,23.8,167.75,55.21,3678176.7700000005,2,13,4,28
2019,Q2,Galaxy S23 5G,Yes,North America,36613,63070767.79,3.25,83.96,13.22,280.73,75.51,12614153.558,2,14,4,29
2019,Q2,Galaxy Z Flip5 5G,Yes,Latin America,12030,33549565.92,5.82,48.62,36.32,227.63,91.79,6709913.184,2,15,2,30
2019,Q3,Galaxy S10,No,North America,27112,27051337.74,3.78,61.35,47.48,152.0,50.23,5410267.548,3,1,4,31
2019,Q3,Galaxy Note10,No,Middle East & Africa,28788,10130230.56,1.38,25.88,6.92,129.04,46.41,2026046.1120000002,3,2,3,32
2019,Q3,Galaxy S20,No,Asia-Pacific,29329,11066723.12,1.23,57.98,32.34,132.81,77.31,2213344.624,3,3,1,33
2019,Q3,Galaxy Note20,No,Latin America,12535,28466176.11,02.09,55.61,31.12,111.28,47.14,5693235.222,3,4,2,34
2019,Q3,Galaxy S21,No,Europe,20683,15828498.96,3.400.000.000.000.000,30.32,-0.65,239.67,46.13,3165699.7920000004,3,5,5,35
2019,Q3,Galaxy A32 5G,Yes,Europe,57404,22248956.96,6.12,83.5,46.57,211.08,58.89,4449791.392,3,6,5,36
2019,Q3,Galaxy A52 5G,Yes,Latin America,56869,,6.12,102.54,21.09,83.18,94.7,0.0,3,7,2,37
2019,Q3,Galaxy A73 5G,Yes,Asia-Pacific,6542,13222480.68,3.5,88.84,26.74,115.63,54.75,2644496.136,3,8,1,38
2019,Q3,Galaxy Z Fold2 5G,Yes,Asia-Pacific,57951,41600297.39,2.72,55.58,17.57,184.77,67.9,8320059.478,3,9,1,39
2019,Q3,Galaxy Z Flip3 5G,Yes,Europe,25004,28940719.49,6.33,45.56,44.29,124.19,54.15,5788143.898,3,10,5,40
2019,Q3,Galaxy S22 5G,Yes,Middle East & Africa,15756,19796585.92,3.58,76.64,36.22,206.39,88.16,3959317.1840000004,3,11,3,41
2019,Q3,Galaxy Z Fold3 5G,Yes,Middle East & Africa,56418,53656997.8,6.91,54.03,24.27,61.49,87.97,10731399.56,3,12,3,42
2019,Q3,Galaxy A14 5G,Yes,North America,30819,60274563.34,3.44,41.17,26.42,199.68,61.6,12054912.668000001,3,13,4,43
2019,Q3,Galaxy S23 5G,Yes,Latin America,18284,26788292.56,6.45,80,23.63,137.73,81.32,5357658.512,3,14,2,44
2019,Q3,Galaxy Z Flip5 5G,Yes,Latin America,48617,,6.48,91.79,54.94,88.28,82.55,0.0,3,15,2,45
2019,Q4,Galaxy S10,No,North America,30040,34166065.19,15.699.999.999.999.900,28.49,47.01,243.47,58.24,6833213.038,4,1,4,46
2019,Q4,Galaxy Note10,No,Europe,40978,52202051.46,3.400.000.000.000.000,39.98,44.96,130.25,45.44,10440410.292000001,4,2,5,47
2019,Q4,Galaxy S20,No,Europe,46113,23485210.48,1.89,69.9,13.34,167.31,45.48,4697042.096,4,3,5,48
2019,Q4,Galaxy Note20,No,Middle East & Africa,8438,35324703.52,2.29,80.9,10.53,80.15,75.72,7064940.704000001,4,4,3,49
2019,Q4,Galaxy S21,No,Europe,23500,33337345.93,3.74,33.06,18.7,73.31,70.74,6667469.186000001,4,5,5,50
2019,Q4,Galaxy A32 5G,Yes,Latin America,40164,21739755.84,3.76,50.13,13.99,210.05,58.83,4347951.1680000005,4,6,2,51
2019,Q4,Galaxy A52 5G,Yes,North America,53367,69827344.42,6.1,95.93,47.57,185.7,93.45,13965468.884000001,4,7,4,52
2019,Q4,Galaxy A73 5G,Yes,Middle East & Africa,37612,34802846.64,2.53,6.646.000.000.000.000,24.02,120.07,87.24,6960569.328000001,4,8,3,53
2019,Q4,Galaxy Z Fold2 5G,Yes,Asia-Pacific,31445,62662104.5,4.859.999.999.999.990,61.44,27.46,183.03,72.21,12532420.9,4,9,1,54
2019,Q4,Galaxy Z Flip3 5G,Yes,Latin America,34541,23308775.82,4.029.999.999.999.990,59.35,8.370.000.000.000.000,138.67,80.35,4661755.164,4,10,2,55
2019,Q4,Galaxy S22 5G,Yes,Asia-Pacific,6719,38311286.36,5.38,42.55,50.32,110.97,87.8,7662257.272,4,11,1,56
2019,Q4,Galaxy Z Fold3 5G,Yes,North America,32919,38143238.39,6.62,79.48,45.85,295.62,58.71,7628647.678,4,12,4,57
2019,Q4,Galaxy A14 5G,Yes,Europe,46371,71988709.97,3.21,88.89,48.87,265.71,90.81,14397741.994,4,13,5,58
2019,Q4,Galaxy S23 5G,Yes,Asia-Pacific,40084,,6.33,42.8,48.55,156.88,53.55,0.0,4,14,1,59
2019,Q4,Galaxy Z Flip5 5G,Yes,Latin America,20192,14639182.7,4.609.999.999.999.990,48.26,50.86,195.2,60.91,2927836.54,4,15,2,60
2020,Q1,Galaxy S10,No,Europe,17825,37347187.77,1.599.999.999.999.990,62.97,26.44,245.48,75.23,7469437.554000001,5,1,5,61
2020,Q1,Galaxy Note10,No,Latin America,21472,34965645.31,0.25,49.22,24.99,247.01,80.17,6993129.062000001,5,2,2,62
2020,Q1,Galaxy S20,No,North America,35641,48775290.39,3.88,60.510.000.000.000.000,6.1,196.59,78.94,9755058.078,5,3,4,63
2020,Q1,Galaxy Note20,No,Latin America,18960,25972084.14,0.53,72.69,26.51,157.1,53.68,5194416.828000001,5,4,2,64
2020,Q1,Galaxy S21,No,Latin America,18546,42315159.99,1.81,58.09,33.08,110.9,49.63,8463031.998000002,5,5,2,65
2020,Q1,Galaxy A32 5G,Yes,Asia-Pacific,42883,18588730.37,6.37,72.87,45.86,273.59,52.9,3717746.0740000005,5,6,1,66
2020,Q1,Galaxy A52 5G,Yes,Middle East & Africa,49662,52134225.08,2.9,96.42,52.2,187.23,76.5,10426845.016,5,7,3,67
2020,Q1,Galaxy A73 5G,Yes,Middle East & Africa,48484,10752134.16,3.75,41.49,10.67,87.88,79.09,2150426.832,5,8,3,68
2020,Q1,Galaxy Z Fold2 5G,Yes,Asia-Pacific,11438,56002244.29,6.33,93.95,52.02,168.24,63.04,11200448.858000001,5,9,1,69
2020,Q1,Galaxy Z Flip3 5G,Yes,Latin America,58199,35481161.41,5.66,42.96,27.95,151.66,52.29,7096232.282,5,10,2,70
2020,Q1,Galaxy S22 5G,Yes,Latin America,40807,28409469.32,03.04,47.56,33.59,95.38,57.91,5681893.864,5,11,2,71
2020,Q1,Galaxy Z Fold3 5G,Yes,North America,27476,29188076.98,4.96,54.96,34.620.000.000.000.000,228.07,69.24,5837615.396000001,5,12,4,72
2020,Q1,Galaxy A14 5G,Yes,Middle East & Africa,25491,13470114.8,6.6,70,41.55,54.56,66.45,2694022.9600000004,5,13,3,73
2020,Q1,Galaxy S23 5G,Yes,North America,57319,64038833.05,5.25,98.77,44.44,187.76,51.45,12807766.61,5,14,4,74
2020,Q1,Galaxy Z Flip5 5G,Yes,North America,53118,71564619.92,4.21,103.57,52.17,120.41,76.81,14312923.984000001,5,15,4,75
2020,Q2,Galaxy S10,No,Latin America,21197,22480526.16,1.84,39.26,10.62,193.23,38.5,4496105.232,6,1,2,76
2020,Q2,Galaxy Note10,No,Europe,8785,16339172.24,-0.36,50.5,16.16,96.06,70.49,3267834.4480000003,6,2,5,77
2020,Q2,Galaxy S20,No,Europe,43775,10852645.86,2.71,42.03,29.43,282.82,64.08,2170529.172,6,3,5,78
